Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,240.679993,240.679993,236.199997,238.880005,234.087814,2651900
2023-01-04,240.000000,242.130005,238.550003,241.360001,236.518051,2387900
2023-01-05,240.529999,241.539993,237.559998,240.279999,235.459717,2355900
2023-01-06,242.889999,249.910004,242.240005,248.860001,243.867599,3945100
2023-01-09,249.009995,250.970001,246.000000,246.619995,241.672531,3417100
2023-01-10,246.949997,250.839996,246.449997,250.509995,245.484497,3011900
2023-01-11,251.490005,251.889999,247.130005,250.729996,245.700073,2402400
2023-01-12,252.000000,257.380005,251.009995,255.070007,249.953018,3881500
2023-01-13,256.799988,258.579987,255.229996,258.459991,253.275009,3067800
2023-01-17,258.859985,260.500000,255.940002,256.260010,251.119156,4100100
2023-01-18,257.279999,258.910004,252.070007,252.820007,247.748154,3361400
2023-01-19,250.479996,251.250000,244.300003,245.750000,241.968475,4885200
2023-01-20,246.869995,249.919998,244.759995,249.710007,245.867554,2964100
2023-01-23,250.750000,253.679993,249.270004,252.699997,248.811539,2610200
2023-01-24,252.880005,259.049988,249.750000,257.609985,253.645966,3505100
2023-01-25,254.529999,259.190002,254.320007,258.440002,254.463196,2424900
2023-01-26,260.000000,262.260010,256.890015,262.119995,258.086578,2677200
2023-01-27,262.459991,266.040009,262.119995,264.540009,260.469360,2783000
2023-01-30,263.339996,265.000000,261.309998,261.500000,257.476105,3426900
2023-01-31,257.000000,257.390015,246.410004,252.289993,248.407852,10992100
2023-02-01,251.750000,252.699997,245.309998,249.539993,245.700150,6022000
2023-02-02,249.330002,249.529999,241.800003,244.899994,241.131561,6130300
2023-02-03,244.000000,250.949997,243.130005,247.759995,243.947540,4134700
2023-02-06,248.110001,252.139999,248.000000,251.419998,247.551239,3528800
2023-02-07,250.550003,252.000000,245.350006,249.660004,245.818314,3467900
2023-02-08,248.100006,251.559998,247.080002,248.869995,245.040451,2300300
2023-02-09,250.000000,251.970001,245.479996,246.279999,242.490326,2464900
2023-02-10,246.279999,248.630005,244.639999,247.669998,243.858932,2820300
2023-02-13,243.500000,248.380005,242.649994,248.149994,244.331558,3068100
2023-02-14,247.009995,247.309998,241.649994,244.360001,240.599869,2512900
2023-02-15,244.199997,248.770004,243.229996,248.699997,244.873077,2398200
2023-02-16,246.500000,248.529999,244.520004,246.520004,242.726639,1934900
2023-02-17,247.860001,250.860001,245.630005,247.789993,243.977097,3759300
2023-02-21,244.500000,248.000000,239.750000,240.710007,237.006042,3105900
2023-02-22,241.190002,242.229996,236.419998,237.889999,234.229416,3145200
2023-02-23,240.669998,240.830002,235.600006,237.949997,234.288498,3219000
2023-02-24,235.229996,236.690002,233.020004,236.169998,232.535904,2105500
2023-02-27,239.100006,241.250000,238.720001,239.979996,236.287262,1720900
2023-02-28,240.940002,241.100006,238.710007,239.550003,235.863892,2647700
2023-03-01,242.009995,249.699997,241.570007,248.669998,244.843536,4117700
2023-03-02,246.509995,252.490005,246.130005,252.179993,248.299530,2676500
2023-03-03,252.389999,255.399994,249.910004,255.309998,251.381378,2314700
2023-03-06,255.649994,255.699997,251.580002,253.979996,250.071854,2317100
2023-03-07,254.050003,254.750000,245.949997,246.139999,242.352478,3018400
2023-03-08,247.990005,251.110001,246.750000,248.720001,244.892776,2068600
2023-03-09,248.949997,250.130005,240.610001,240.960007,237.252197,2518800
2023-03-10,236.309998,238.130005,225.800003,227.009995,223.516846,5767500
2023-03-13,222.580002,228.330002,221.539993,224.699997,221.242386,4885100
2023-03-14,228.990005,229.589996,222.199997,225.669998,222.197464,3754900
2023-03-15,219.399994,221.179993,212.570007,217.259995,213.916870,5471700
2023-03-16,215.669998,219.809998,213.320007,218.710007,215.344574,3555000
2023-03-17,217.399994,217.399994,211.429993,215.009995,211.701492,7203000
2023-03-20,217.350006,221.869995,216.479996,220.309998,216.919937,3464200
2023-03-21,224.059998,226.000000,223.610001,224.919998,221.459015,3074600
2023-03-22,225.169998,226.589996,219.860001,219.949997,216.565475,2930200
