Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,116.559998,117.980003,111.919998,113.120003,109.106102,5424400
2023-01-04,111.220001,114.309998,110.459999,113.339996,109.318298,4837600
2023-01-05,113.529999,117.800003,113.529999,116.769997,112.626595,5177700
2023-01-06,118.500000,120.190002,117.540001,118.230003,114.034798,4442300
2023-01-09,120.320000,120.660004,116.860001,117.360001,113.195656,5403200
2023-01-10,118.230003,118.620003,116.680000,118.080002,113.890114,4042700
2023-01-11,119.190002,119.550003,116.910004,118.239998,114.044426,4569900
2023-01-12,118.389999,121.099998,117.849998,120.160004,115.896301,5072500
2023-01-13,120.580002,121.849998,118.510002,121.470001,117.159821,4360200
2023-01-17,121.059998,122.540001,119.559998,120.239998,115.973457,5228500
2023-01-18,121.199997,123.709999,118.360001,118.550003,114.343430,5138700
2023-01-19,117.550003,120.260002,116.260002,119.639999,115.394745,5049100
2023-01-20,120.160004,121.910004,119.250000,121.800003,117.478104,5101400
2023-01-23,122.459999,123.169998,119.970001,120.129997,115.867363,3963200
2023-01-24,121.000000,121.000000,117.639999,118.809998,114.594200,4216900
2023-01-25,118.199997,120.379997,116.639999,120.370003,116.098862,3984700
2023-01-26,122.290001,124.730003,120.800003,124.650002,120.226982,5807400
2023-01-27,124.690002,126.389999,123.519997,123.610001,119.223892,4857500
2023-01-30,122.089996,122.599998,120.330002,120.529999,116.253174,5246300
2023-01-31,120.220001,122.089996,119.099998,121.870003,117.545639,5200100
2023-02-01,120.709999,120.970001,115.199997,117.699997,113.523590,7282300
2023-02-02,113.489998,115.389999,109.760002,111.300003,107.350685,11531300
2023-02-03,111.309998,112.389999,107.760002,108.110001,104.273880,13504200
2023-02-06,108.570000,109.949997,106.730003,107.489998,103.675880,11516300
2023-02-07,108.410004,112.150002,107.410004,112.019997,108.045135,7370600
2023-02-08,112.230003,113.000000,109.839996,110.790001,106.858795,6713200
2023-02-09,110.610001,111.739998,109.849998,109.930000,106.029297,5768300
2023-02-10,111.980003,115.370003,111.830002,115.059998,110.977264,10779200
2023-02-13,113.949997,114.099998,112.120003,112.309998,108.807137,6018200
2023-02-14,111.000000,114.449997,110.550003,113.550003,110.008469,7308100
2023-02-15,111.820000,112.169998,109.980003,111.650002,108.167725,7203700
2023-02-16,110.879997,111.709999,108.089996,108.360001,104.980339,6531900
2023-02-17,106.139999,106.669998,103.169998,104.120003,100.872581,11294500
2023-02-21,104.010002,106.120003,103.510002,105.309998,102.025459,7200600
2023-02-22,105.480003,105.480003,102.959999,104.080002,100.833824,7929500
2023-02-23,106.000000,106.400002,104.070000,105.430000,102.141724,6095800
2023-02-24,104.169998,105.550003,103.360001,105.250000,101.967331,5617900
2023-02-27,105.169998,106.180000,103.440002,105.860001,102.558311,7429300
2023-02-28,106.660004,107.309998,103.309998,103.349998,100.126595,8771800
2023-03-01,103.730003,107.680000,103.230003,106.250000,102.936142,6064700
2023-03-02,106.070000,108.959999,105.779999,108.330002,104.951271,5458600
2023-03-03,106.269997,109.080002,105.820000,108.639999,105.251602,7075100
2023-03-06,107.580002,109.599998,107.099998,109.559998,106.142906,6200900
2023-03-07,108.589996,108.919998,106.669998,107.650002,104.292480,4973200
2023-03-08,107.000000,108.529999,105.760002,107.230003,103.885582,4576800
2023-03-09,107.919998,109.250000,105.360001,105.809998,102.509857,5191600
2023-03-10,105.730003,107.330002,103.599998,104.220001,100.969452,5313100
2023-03-13,102.000000,103.580002,99.570000,100.680000,97.539871,8789700
2023-03-14,101.050003,104.419998,99.620003,101.360001,98.198654,7090800
2023-03-15,97.419998,98.709999,93.589996,95.239998,92.269539,10661200
2023-03-16,92.010002,96.500000,91.529999,96.400002,93.393356,10111500
2023-03-17,96.349998,96.949997,93.500000,94.389999,91.446053,17056000
2023-03-20,94.839996,96.889999,94.709999,96.160004,93.160843,7932900
2023-03-21,98.089996,100.089996,98.000000,99.709999,96.600113,6770200
2023-03-22,100.000000,101.089996,98.290001,98.370003,95.301926,5635500
2023-03-23,98.510002,99.760002,95.500000,96.419998,93.412727,5866400
2023-03-24,94.559998,95.900002,93.260002,95.430000,92.453606,8385900
2023-03-27,96.309998,98.500000,95.599998,97.480003,94.439667,6049700
2023-03-28,96.610001,98.690002,96.430000,97.930000,95.463226,3792000
2023-03-29,99.639999,100.300003,98.669998,99.750000,97.237389,7596300
2023-03-30,100.610001,100.860001,98.870003,99.250000,96.749977,5461100
