Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,110.410004,111.199997,109.489998,111.139999,108.114868,8062500
2023-01-04,112.320000,112.610001,111.239998,112.080002,109.029282,8698600
2023-01-05,111.589996,113.910004,111.419998,113.639999,110.546822,9578900
2023-01-06,114.320000,115.489998,114.050003,114.839996,111.714157,8632300
2023-01-09,114.879997,114.930000,109.940002,110.379997,107.375549,12858800
2023-01-10,110.559998,112.010002,109.879997,110.809998,107.793846,12122800
2023-01-11,109.339996,111.309998,108.750000,111.070000,108.046776,8626500
2023-01-12,110.919998,112.099998,110.029999,111.769997,108.727715,8914800
2023-01-13,111.199997,112.440002,110.949997,112.250000,109.194649,5757800
2023-01-17,112.029999,112.489998,110.320000,110.449997,107.443649,10241100
2023-01-18,109.919998,110.099998,108.580002,108.790001,105.828835,8799500
2023-01-19,108.440002,110.180000,108.099998,109.900002,106.908623,6772900
2023-01-20,109.379997,109.989998,108.650002,109.940002,106.947525,9216500
2023-01-23,109.930000,110.360001,109.169998,109.879997,106.889168,8998800
2023-01-24,110.000000,110.000000,106.389999,108.519997,105.566177,7424200
2023-01-25,108.709999,109.930000,108.330002,108.589996,105.634285,6168000
2023-01-26,108.529999,108.550003,105.820000,106.870003,103.961098,9672700
2023-01-27,106.209999,106.680000,105.110001,105.379997,102.511642,7784900
2023-01-30,105.570000,106.500000,105.500000,106.089996,103.202324,6476600
2023-01-31,106.099998,107.440002,105.900002,107.410004,104.486397,7938900
2023-02-01,106.970001,107.430000,106.080002,106.980003,104.068100,10103200
2023-02-02,104.019997,105.809998,101.750000,103.459999,100.643906,16229900
2023-02-03,103.220001,103.790001,102.480003,102.940002,100.138069,11210800
2023-02-06,103.430000,104.620003,102.839996,104.029999,101.198402,9054500
2023-02-07,103.699997,105.930000,103.559998,105.680000,102.803482,7904700
2023-02-08,105.809998,107.519997,105.320000,106.639999,103.737358,8596300
2023-02-09,106.860001,107.839996,106.540001,106.720001,103.815178,7976800
2023-02-10,106.970001,108.769997,106.870003,108.570000,105.614822,7609600
2023-02-13,108.709999,109.570000,108.349998,109.550003,106.568146,7383100
2023-02-14,109.949997,110.000000,108.190002,108.739998,105.780190,6983900
2023-02-15,108.529999,108.790001,107.559998,107.680000,104.749046,6416600
2023-02-16,106.820000,107.459999,106.230003,106.510002,103.610901,5959300
2023-02-17,106.330002,109.540001,105.519997,109.519997,106.538956,9474600
2023-02-21,108.900002,109.879997,108.629997,109.070000,106.101212,6741500
2023-02-22,110.209999,110.320000,108.919998,109.160004,106.188766,7213900
2023-02-23,109.260002,111.239998,109.099998,110.589996,107.579842,6922800
2023-02-24,110.089996,110.330002,108.889999,109.889999,106.898895,5787900
2023-02-27,110.029999,110.129997,108.519997,109.360001,106.383324,5654800
2023-02-28,108.830002,108.839996,106.160004,106.239998,103.348236,10209900
2023-03-01,105.959999,107.550003,105.959999,106.650002,103.747086,6099000
2023-03-02,106.629997,107.370003,106.099998,107.010002,104.097282,5097500
2023-03-03,107.379997,107.389999,106.129997,106.879997,103.970810,6124300
2023-03-06,107.660004,111.239998,107.449997,111.099998,108.075958,17776600
2023-03-07,111.769997,112.180000,110.720001,111.269997,108.241325,13805300
2023-03-08,110.930000,111.279999,107.589996,108.279999,105.332718,8440800
2023-03-09,109.300003,109.900002,107.110001,107.599998,104.671227,5842500
2023-03-10,107.440002,110.720001,107.339996,107.690002,104.758766,9738500
2023-03-13,104.470001,108.839996,104.400002,105.730003,102.852127,10687100
2023-03-14,105.449997,107.129997,104.519997,106.970001,104.781830,9806900
2023-03-15,106.480003,108.029999,105.570000,107.629997,105.428322,10942700
2023-03-16,106.500000,107.709999,104.230003,107.339996,105.144257,9441500
2023-03-17,107.150002,107.309998,103.489998,104.099998,101.970528,26402100
2023-03-20,104.820000,106.910004,104.820000,105.849998,103.684731,12865800
2023-03-21,106.000000,106.430000,104.760002,105.540001,103.381073,11571800
2023-03-22,105.470001,106.000000,104.389999,104.400002,102.264397,5705800
2023-03-23,104.099998,104.629997,103.459999,104.230003,102.097878,6801700
