Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,180.589996,180.750000,176.570007,179.410004,174.403366,5137400
2023-01-04,179.410004,180.539993,177.550003,178.970001,173.975632,4771300
2023-01-05,177.960007,178.770004,176.860001,177.100006,172.157806,3647100
2023-01-06,178.809998,181.830002,178.800003,181.100006,176.046204,3713200
2023-01-09,180.440002,182.770004,178.809998,179.330002,174.325577,3319200
2023-01-10,178.789993,179.529999,177.089996,177.850006,172.886887,3817300
2023-01-11,179.389999,179.710007,175.679993,178.050003,173.081314,4369900
2023-01-12,177.660004,178.369995,175.320007,175.779999,170.874664,4246600
2023-01-13,175.399994,175.729996,174.169998,175.240005,170.349731,4720400
2023-01-17,176.149994,177.550003,175.490005,176.059998,171.146835,5032600
2023-01-18,175.240005,175.740005,171.330002,171.619995,166.830750,5032600
2023-01-19,171.279999,172.169998,169.479996,169.630005,164.896286,4720400
2023-01-20,168.949997,169.889999,167.460007,169.880005,165.139297,5779100
2023-01-23,170.009995,170.759995,168.720001,169.119995,164.400513,5440400
2023-01-24,169.610001,170.869995,168.449997,170.690002,165.926682,4125600
2023-01-25,170.339996,171.979996,169.339996,171.929993,167.132095,3852800
2023-01-26,171.639999,171.669998,170.039993,170.220001,165.469818,4558400
2023-01-27,169.770004,170.229996,168.580002,169.619995,164.886551,5451400
2023-01-30,169.779999,171.460007,169.139999,169.479996,164.750473,5191500
2023-01-31,170.199997,171.070007,169.320007,171.020004,166.247482,4665500
2023-02-01,170.880005,172.320007,169.509995,171.559998,166.772415,4147700
2023-02-02,169.460007,170.559998,168.509995,169.970001,165.226791,5653800
2023-02-03,170.960007,171.289993,167.050003,169.119995,164.400513,5308200
2023-02-06,169.740005,172.380005,169.589996,171.820007,167.025162,5640000
2023-02-07,170.289993,172.029999,169.259995,171.559998,166.772415,6044700
2023-02-08,171.000000,171.330002,170.240005,171.160004,166.383575,5687300
2023-02-09,175.320007,176.490005,172.039993,172.779999,167.958374,9619400
2023-02-10,173.119995,176.589996,172.649994,176.199997,171.282928,6176000
2023-02-13,176.259995,178.229996,176.039993,177.770004,172.809128,5205100
