Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,240.580002,241.089996,236.910004,239.369995,237.015991,1006100
2023-01-04,242.410004,245.100006,240.679993,244.179993,241.778671,790100
2023-01-05,239.800003,241.139999,226.500000,227.750000,225.510269,1601800
2023-01-06,229.460007,237.210007,228.110001,235.800003,233.481094,1400000
2023-01-09,237.100006,241.270004,234.070007,236.009995,233.689041,1047400
2023-01-10,233.940002,235.869995,232.619995,234.100006,231.797821,865800
2023-01-11,237.160004,243.960007,236.740005,243.759995,241.362808,1459100
2023-01-12,244.160004,246.570007,238.550003,243.740005,241.343018,1077600
2023-01-13,241.029999,246.449997,241.029999,245.880005,243.461960,827100
2023-01-17,246.490005,248.449997,244.800003,247.800003,245.363083,1379100
2023-01-18,249.500000,249.919998,244.089996,244.270004,241.867783,1382100
2023-01-19,241.809998,243.710007,233.869995,234.339996,232.035446,1435400
2023-01-20,236.020004,246.309998,234.660004,245.309998,242.897568,1648400
2023-01-23,244.279999,247.720001,242.179993,246.039993,243.620392,1110900
2023-01-24,246.529999,249.740005,243.399994,249.360001,246.907745,1133300
2023-01-25,245.529999,249.369995,244.699997,247.089996,244.660049,1608800
2023-01-26,220.800003,230.279999,219.070007,225.059998,222.846710,7703000
2023-01-27,225.100006,230.649994,225.100006,228.539993,226.292480,2871700
2023-01-30,230.470001,232.860001,229.779999,230.880005,228.609467,2315700
2023-01-31,231.839996,237.080002,231.339996,236.589996,234.263321,2244400
2023-02-01,236.149994,244.470001,235.020004,243.220001,240.828125,1818100
2023-02-02,243.949997,247.750000,242.380005,245.350006,242.937180,1678000
2023-02-03,241.779999,242.990005,240.089996,241.729996,239.352768,1691900
2023-02-06,240.880005,244.199997,239.429993,243.029999,240.639984,1342400
2023-02-07,241.029999,242.389999,234.479996,238.440002,236.095139,2156600
2023-02-08,232.289993,237.619995,231.389999,235.509995,233.193924,1268400
2023-02-09,236.610001,238.759995,230.830002,231.509995,229.233276,1228200
2023-02-10,230.169998,232.259995,228.899994,230.490005,228.223312,1451800
2023-02-13,231.559998,235.699997,230.880005,233.080002,230.787842,1575700
2023-02-14,231.949997,233.940002,230.020004,231.949997,229.668961,1246200
2023-02-15,231.660004,234.149994,229.270004,232.649994,230.362061,1906700
2023-02-16,228.000000,230.699997,226.889999,227.130005,224.896362,1712400
2023-02-17,226.149994,228.210007,224.250000,227.979996,225.737976,1594900
2023-02-21,226.449997,227.339996,221.610001,223.220001,221.024811,2326000
2023-02-22,224.779999,224.899994,222.020004,222.630005,220.440613,2339200
2023-02-23,223.009995,224.179993,219.410004,223.050003,220.856476,1718500
2023-02-24,219.000000,221.610001,216.660004,221.080002,219.501221,1423100
2023-02-27,223.800003,224.669998,220.869995,221.940002,220.355072,1173900
2023-02-28,221.270004,223.750000,220.529999,221.350006,219.769302,1675400
2023-03-01,219.000000,220.919998,217.630005,219.009995,217.445999,1515300
2023-03-02,216.750000,225.179993,216.250000,224.020004,222.420227,1350100
2023-03-03,226.330002,228.820007,224.210007,228.339996,226.709381,1297500
2023-03-06,228.979996,230.550003,224.470001,224.470001,222.867020,1861500
2023-03-07,224.050003,225.070007,219.369995,220.500000,218.925369,1310100
2023-03-08,220.429993,222.369995,218.490005,220.029999,218.458725,1035000
2023-03-09,221.820007,223.139999,216.740005,217.190002,215.638992,1502500
2023-03-10,218.729996,219.929993,213.410004,214.100006,212.571075,1678600
2023-03-13,211.899994,217.889999,211.889999,213.600006,212.074646,1727300
2023-03-14,215.990005,218.729996,214.020004,216.990005,215.440430,1472000
2023-03-15,214.960007,218.740005,213.740005,216.550003,215.003571,1425700
2023-03-16,215.929993,221.139999,214.940002,220.350006,218.776428,1390400
