Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,52.860001,53.590000,50.360001,51.500000,50.524307,8487800
2023-01-04,50.459999,52.029999,50.189999,51.700001,50.720512,9069800
2023-01-05,51.660000,53.209999,51.660000,52.669998,51.672138,6622100
2023-01-06,53.450001,54.700001,53.299999,54.500000,53.467468,10171800
2023-01-09,55.279999,56.279999,55.099998,55.639999,54.585869,12104300
2023-01-10,55.599998,56.169998,54.950001,55.959999,54.899807,7080300
2023-01-11,55.950001,56.750000,55.730000,56.320000,55.252991,8856900
2023-01-12,56.230000,58.610001,56.180000,58.000000,56.901165,12857100
2023-01-13,57.990002,58.520000,57.330002,58.279999,57.175850,7345000
2023-01-17,58.150002,58.930000,57.959999,58.459999,57.352444,8467200
2023-01-18,58.939999,59.450001,57.029999,57.130001,56.047642,11332700
2023-01-19,56.290001,57.939999,56.209999,57.380001,56.292904,15283700
2023-01-20,57.490002,58.990002,56.220001,57.349998,56.263474,19204800
2023-01-23,57.500000,57.700001,55.230000,55.860001,54.801704,15090600
2023-01-24,54.070000,56.439999,54.070000,55.470001,54.419090,8784400
2023-01-25,55.150002,56.500000,54.270000,56.250000,55.184315,9053000
2023-01-26,56.619999,57.549999,55.299999,57.470001,56.381203,8581500
2023-01-27,57.320000,58.099998,56.599998,56.970001,55.890675,7669500
2023-01-30,56.630001,56.830002,56.119999,56.340000,55.272610,6181100
2023-01-31,56.279999,57.439999,55.980000,56.980000,55.900482,5951900
2023-02-01,56.910000,57.439999,55.000000,55.700001,54.644733,10454000
2023-02-02,55.259998,55.259998,51.970001,52.290001,51.299339,17007600
2023-02-03,52.820000,54.669998,52.549999,52.639999,51.642708,10737000
2023-02-06,52.799999,53.380001,52.189999,53.090000,52.084183,6482100
2023-02-07,53.439999,54.130001,52.740002,53.889999,53.119164,9109700
2023-02-08,54.000000,55.130001,53.750000,54.709999,53.927433,7939900
2023-02-09,54.459999,54.740002,53.740002,53.840000,53.069881,7116500
2023-02-10,54.770000,56.419998,54.480000,56.360001,55.553833,9410700
2023-02-13,55.900002,57.360001,55.240002,57.310001,56.490250,8964200
2023-02-14,56.410000,57.799999,56.110001,56.820000,56.007256,7437300
2023-02-15,56.150002,56.299999,55.020000,55.990002,55.189129,7077200
2023-02-16,56.000000,56.590000,55.419998,55.779999,54.982128,5089700
2023-02-17,55.000000,55.060001,53.130001,53.340000,52.577030,9162900
2023-02-21,53.299999,54.590000,53.270000,53.400002,52.636177,7422100
2023-02-22,53.160000,53.939999,52.040001,52.410000,51.660336,9181100
2023-02-23,53.580002,54.020000,52.869999,53.320000,52.557316,6324500
2023-02-24,52.799999,54.130001,52.200001,53.919998,53.148735,8458700
2023-02-27,54.029999,54.529999,53.389999,54.400002,53.621872,6287000
2023-02-28,54.990002,55.290001,53.200001,53.209999,52.448891,10634200
2023-03-01,53.250000,55.160000,53.119999,54.889999,54.104862,7166500
2023-03-02,54.619999,55.480000,54.049999,55.299999,54.508995,5668300
2023-03-03,54.490002,56.139999,54.189999,55.990002,55.189129,6726500
2023-03-06,55.470001,55.730000,54.939999,55.349998,54.558277,6116600
2023-03-07,55.020000,55.070000,54.000000,54.040001,53.267017,6908500
2023-03-08,53.709999,54.259998,52.320000,53.540001,52.774170,7555000
2023-03-09,53.900002,54.439999,52.099998,52.189999,51.443478,8844300
2023-03-10,51.770000,52.950001,50.660000,51.000000,50.270504,8608400
2023-03-13,49.369999,50.490002,48.320000,48.840000,48.141399,10914700
2023-03-14,49.250000,50.889999,48.450001,49.360001,48.653961,10345900
2023-03-15,46.770000,46.959999,44.720001,45.320000,44.671749,18103300
2023-03-16,44.340000,46.529999,44.080002,46.180000,45.519447,16769500
2023-03-17,45.950001,46.000000,44.369999,44.680000,44.040905,20723800
2023-03-20,44.889999,46.549999,44.700001,46.220001,45.558876,10496100
2023-03-21,47.990002,48.660000,47.520000,48.279999,47.589405,10486500
2023-03-22,48.549999,48.910000,47.290001,47.400002,46.722000,11557000
2023-03-23,47.439999,47.840000,45.040001,45.480000,44.829460,12213400
2023-03-24,44.209999,45.000000,43.820000,44.570000,43.932476,19753600
2023-03-27,45.619999,46.930000,45.209999,46.770000,46.101009,10579800
2023-03-28,46.770000,47.869999,46.509998,47.639999,46.958561,6816200
2023-03-29,48.250000,48.799999,48.029999,48.700001,48.003399,9569700
2023-03-30,49.389999,49.529999,48.490002,48.740002,48.042831,7353600
2023-03-31,48.849998,49.480000,48.619999,49.099998,48.397678,8154000
2023-04-03,52.270000,53.810001,51.970001,52.330002,51.581478,20003400
2023-04-04,52.360001,52.529999,49.959999,50.459999,49.738224,9378100
2023-04-05,50.580002,51.160000,49.910000,50.700001,49.974792,9102100
2023-04-06,50.680000,50.840000,49.500000,49.619999,48.910240,6734100
2023-04-10,49.810001,50.959999,49.730000,50.040001,49.324234,5278400
2023-04-11,50.330002,51.400002,49.950001,51.139999,50.408501,8081100
2023-04-12,51.320000,52.220001,50.759998,51.980000,51.236485,8400500
2023-04-13,51.939999,52.299999,51.759998,51.889999,51.147770,6544300
2023-04-14,52.400002,53.150002,51.889999,52.480000,51.729332,8037000
