Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,77.150002,77.910004,75.269997,76.855003,73.158539,2655600
2023-01-04,77.029999,78.199997,76.785004,77.519997,73.791542,1683200
2023-01-05,76.875000,77.209999,75.495003,76.239998,72.573112,2009600
2023-01-06,77.165001,78.180000,77.074997,77.269997,73.553566,2552000
2023-01-09,77.239998,78.870003,77.184998,78.565002,74.786285,2347400
2023-01-10,78.514999,78.879997,77.430000,78.754997,74.967148,1978000
2023-01-11,78.995003,81.364998,78.995003,81.029999,77.132721,3111200
2023-01-12,81.209999,81.349998,80.095001,80.464996,76.594894,2355600
2023-01-13,80.120003,80.724998,79.464996,80.415001,76.547302,2257800
2023-01-17,80.605003,81.820000,80.519997,80.885002,76.994705,2947200
2023-01-18,81.264999,81.264999,78.055000,78.345001,74.576866,2322000
2023-01-19,78.245003,78.570000,76.904999,77.889999,74.143753,3005800
2023-01-20,78.239998,79.105003,77.275002,78.995003,75.195610,2734400
2023-01-23,79.000000,80.065002,78.385002,79.370003,75.552574,1606000
2023-01-24,78.440002,79.870003,78.370003,79.559998,75.733429,1675600
2023-01-25,78.964996,79.550003,78.504997,79.489998,75.666794,1325600
2023-01-26,79.250000,80.254997,79.105003,80.250000,76.390244,1657200
2023-01-27,80.245003,81.360001,80.025002,80.915001,77.023254,2558800
2023-01-30,80.464996,81.330002,80.389999,80.620003,76.742447,3074000
2023-01-31,80.620003,80.680000,78.904999,80.165001,76.309341,3029200
2023-02-01,79.779999,80.724998,79.290001,79.940002,76.095154,2372200
2023-02-02,80.389999,81.000000,79.099998,80.565002,76.690102,3881000
2023-02-03,80.035004,80.440002,77.324997,77.949997,74.200859,2923600
2023-02-06,77.665001,78.989998,77.504997,78.820000,75.029030,1741200
2023-02-07,78.099998,78.699997,77.300003,78.550003,74.772003,1812800
2023-02-08,77.945000,78.000000,76.690002,77.209999,73.496452,2115600
2023-02-09,77.445000,78.065002,76.305000,76.379997,72.706367,2825400
2023-02-10,76.639999,78.614998,76.425003,78.565002,74.786285,2186400
2023-02-13,78.675003,79.195000,78.540001,78.889999,75.095657,1423200
2023-02-14,78.800003,79.379997,78.209999,78.425003,74.653023,1792400
2023-02-15,78.025002,79.285004,77.864998,79.195000,75.385986,2077200
2023-02-16,78.184998,79.065002,77.535004,78.735001,74.948112,2145600
2023-02-17,78.815002,80.154999,78.305000,79.245003,75.433578,3693600
2023-02-21,78.735001,78.735001,77.584999,77.709999,73.972404,2260200
2023-02-22,77.535004,78.675003,77.055000,77.580002,73.848663,1969000
2023-02-23,77.919998,78.474998,77.180000,77.830002,74.086647,2038600
2023-02-24,77.120003,77.900002,76.540001,77.639999,73.905777,2154200
2023-02-27,77.955002,78.970001,77.059998,77.440002,73.715401,2385400
2023-02-28,76.730003,76.800003,74.254997,74.980003,71.373718,7263800
2023-03-01,74.589996,74.785004,72.919998,73.930000,70.374214,3853400
2023-03-02,73.470001,74.400002,72.815002,74.345001,70.769257,2635200
2023-03-03,74.599998,75.470001,73.574997,75.445000,71.816353,2268200
2023-03-06,75.425003,76.144997,75.224998,75.529999,71.897263,2136000
2023-03-07,75.709999,75.785004,73.775002,74.150002,70.583633,2504000
2023-03-08,74.135002,74.535004,73.690002,74.309998,70.735931,2184800
2023-03-09,74.375000,75.180000,73.580002,73.809998,70.259979,2897800
2023-03-10,74.074997,74.495003,71.845001,72.055000,68.589394,2906400
2023-03-13,71.900002,74.540001,71.639999,71.985001,68.522766,4426000
2023-03-14,72.820000,74.400002,72.820000,73.425003,69.893509,3536800
2023-03-15,72.940002,73.760002,72.339996,73.180000,69.660286,2931800
2023-03-16,72.820000,74.394997,72.669998,74.345001,70.769257,3102400
2023-03-17,73.949997,74.004997,72.589996,72.669998,69.174805,7999600
2023-03-20,72.885002,74.014999,72.834999,73.754997,70.207619,4174600
2023-03-21,73.595001,73.724998,71.385002,72.794998,70.430161,5341000
2023-03-22,72.294998,72.660004,70.995003,71.000000,68.693474,3048800
2023-03-23,70.730003,71.224998,69.279999,69.845001,67.575996,3620600
2023-03-24,69.900002,71.464996,69.775002,71.389999,69.070808,2356200
2023-03-27,72.125000,72.635002,71.620003,72.160004,69.815796,2164800
2023-03-28,72.019997,73.279999,71.879997,72.724998,70.362427,1447200
2023-03-29,73.269997,74.489998,73.269997,74.224998,71.813698,2311200
2023-03-30,74.610001,75.440002,74.349998,74.779999,72.350670,2204200
2023-03-31,74.985001,75.595001,74.790001,75.580002,73.124687,2644400
2023-04-03,75.425003,75.709999,74.669998,74.790001,72.360359,3110000
2023-04-04,74.964996,75.379997,74.434998,75.129997,72.689301,2079200
2023-04-05,75.500000,77.080002,75.500000,76.570000,74.082527,2694000
2023-04-06,76.949997,77.834999,76.919998,77.669998,75.146790,2375400
2023-04-10,77.010002,77.815002,76.815002,77.644997,75.122597,1415400
2023-04-11,77.430000,77.654999,76.870003,77.375000,74.861374,2052200
2023-04-12,77.690002,77.794998,76.639999,76.974998,74.474373,2138800
