Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,139.000000,140.089996,136.259995,139.039993,138.435669,8245300
2023-01-04,140.500000,140.979996,137.360001,139.960007,139.351685,6900800
2023-01-05,140.630005,145.119995,140.160004,144.479996,143.852036,9254700
2023-01-06,145.789993,149.470001,145.789993,148.570007,147.924271,6539600
2023-01-09,148.020004,150.229996,147.750000,148.770004,148.123398,4977100
2023-01-10,148.970001,149.899994,147.740005,149.559998,148.909958,3779400
2023-01-11,149.500000,149.850006,148.119995,148.800003,148.153259,4451500
2023-01-12,147.770004,150.089996,146.550003,149.910004,149.258438,4269400
2023-01-13,149.910004,150.570007,148.259995,149.679993,149.029434,6543800
2023-01-17,149.179993,149.179993,146.639999,146.979996,146.341171,5482000
2023-01-18,146.130005,147.740005,145.500000,145.899994,145.265854,4543400
2023-01-19,145.179993,145.669998,143.660004,145.139999,144.509171,5345700
2023-01-20,142.410004,145.509995,142.389999,145.119995,144.489243,5878200
2023-01-23,145.649994,145.830002,143.850006,144.369995,143.742508,5306400
2023-01-24,143.830002,146.539993,143.009995,145.809998,145.176254,3851700
2023-01-25,145.729996,148.539993,145.199997,148.070007,147.426437,4352500
2023-01-26,147.889999,149.190002,147.490005,148.690002,148.043747,3808400
2023-01-27,148.059998,148.199997,146.169998,146.729996,146.092255,4061700
2023-01-30,145.910004,147.949997,145.339996,146.979996,146.341171,4485200
2023-01-31,147.580002,149.970001,147.479996,149.309998,148.661041,6073000
2023-02-01,149.149994,152.149994,148.490005,150.970001,150.313828,7111300
2023-02-02,150.020004,150.179993,145.770004,146.949997,146.311295,8665700
2023-02-03,146.190002,146.679993,144.339996,145.190002,144.558960,5557500
2023-02-06,141.470001,143.270004,141.470001,141.970001,141.352951,6314200
2023-02-07,140.860001,143.369995,140.250000,142.990005,142.368515,4952100
2023-02-08,142.059998,144.160004,141.820007,143.809998,143.184952,4014500
2023-02-09,144.990005,145.300003,142.729996,142.850006,142.229126,4146600
2023-02-10,143.360001,143.940002,142.589996,143.699997,143.075424,3558000
2023-02-13,144.500000,146.600006,144.000000,146.580002,145.942917,3547900
2023-02-14,145.889999,147.589996,144.889999,147.490005,146.848953,4195500
2023-02-15,146.740005,148.000000,146.520004,147.550003,146.908691,5334700
2023-02-16,145.699997,148.050003,145.270004,146.729996,146.092255,4689200
2023-02-17,147.080002,149.399994,146.919998,149.350006,148.700882,4617700
2023-02-21,148.250000,148.539993,145.500000,147.089996,146.450684,5648800
2023-02-22,147.860001,148.449997,146.649994,147.330002,146.689651,3540100
2023-02-23,146.410004,146.429993,142.630005,144.729996,144.100952,5563000
2023-02-24,143.229996,144.559998,142.210007,144.410004,143.782349,4593600
