Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,207.289993,207.869995,205.130005,207.580002,202.473297,1766300
2023-01-04,208.089996,210.210007,207.570007,209.240005,204.092468,1830900
2023-01-05,207.729996,208.679993,202.759995,203.080002,198.084000,2317500
2023-01-06,206.800003,212.550003,206.000000,212.009995,206.794296,3375200
2023-01-09,212.190002,215.880005,211.100006,211.460007,206.257828,2259500
2023-01-10,211.380005,212.380005,209.869995,212.279999,207.057663,1225300
2023-01-11,213.240005,214.669998,212.130005,214.259995,208.988953,1840500
2023-01-12,215.309998,216.250000,212.070007,214.690002,209.408386,2034600
2023-01-13,212.910004,214.119995,212.160004,213.229996,207.984299,1693500
2023-01-17,214.470001,216.960007,212.449997,214.309998,209.037720,2186200
2023-01-18,214.649994,215.809998,209.199997,209.479996,204.326553,2719400
2023-01-19,207.610001,209.220001,205.490005,205.500000,200.444443,3065600
2023-01-20,205.860001,208.720001,203.529999,208.660004,203.526749,5344000
2023-01-23,209.320007,212.970001,208.020004,210.130005,204.960556,3155600
2023-01-24,205.000000,207.000000,201.000000,203.179993,198.181519,4462600
2023-01-25,200.960007,201.690002,197.029999,200.119995,195.196808,4163900
2023-01-26,198.470001,201.600006,194.500000,201.479996,196.523346,4207000
2023-01-27,201.649994,203.850006,200.660004,202.389999,197.410965,3429400
2023-01-30,200.850006,203.940002,200.000000,200.199997,195.274841,2617500
2023-01-31,200.110001,204.210007,199.639999,204.190002,199.166687,2958700
2023-02-01,203.210007,209.100006,202.619995,207.929993,202.814682,3080100
2023-02-02,208.000000,214.889999,206.949997,213.410004,208.159882,3446000
2023-02-03,210.570007,212.880005,209.589996,210.289993,205.116623,2142100
2023-02-06,209.020004,210.380005,208.070007,208.960007,203.819351,1665600
2023-02-07,207.039993,210.380005,206.559998,209.039993,203.897369,2067500
2023-02-08,208.369995,209.580002,206.520004,207.139999,202.044128,1805100
2023-02-09,208.139999,208.639999,202.449997,202.809998,197.820618,2989900
2023-02-10,202.220001,206.100006,201.759995,205.500000,200.444443,2599900
2023-02-13,204.919998,208.940002,204.529999,206.050003,200.980942,4095400
2023-02-14,205.860001,205.929993,201.600006,204.029999,199.010635,2174600
2023-02-15,201.610001,203.119995,199.419998,203.110001,198.113281,2880000
2023-02-16,199.679993,203.039993,199.449997,200.520004,195.586990,3375000
2023-02-17,198.820007,201.649994,198.559998,201.589996,196.630646,7063800
2023-02-21,199.410004,200.169998,193.679993,193.750000,188.983536,4462300
2023-02-22,193.660004,194.490005,190.080002,191.380005,186.671829,5816000
2023-02-23,192.630005,193.660004,190.740005,193.320007,188.564117,3125400
2023-02-24,191.300003,194.589996,190.320007,194.020004,189.246887,3371400
2023-02-27,213.929993,214.800003,209.770004,212.169998,208.346359,12140400
2023-02-28,210.529999,211.399994,206.610001,207.279999,203.544495,6091200
2023-03-01,206.089996,210.149994,205.979996,207.990005,204.241699,2775200
2023-03-02,206.649994,212.160004,206.259995,211.360001,207.550964,2812900
2023-03-03,212.009995,212.880005,208.000000,209.360001,205.587006,3665800
2023-03-06,209.559998,210.809998,207.839996,208.830002,205.066559,2300400
2023-03-07,207.429993,207.699997,204.649994,205.399994,201.698364,3898000
2023-03-08,204.490005,205.149994,201.460007,203.570007,199.901352,2980800
2023-03-09,204.820007,204.820007,199.419998,199.570007,195.973450,3342100
2023-03-10,198.880005,203.089996,195.179993,196.059998,192.526688,3909500
2023-03-13,194.619995,199.149994,193.729996,195.100006,191.584015,2774700
2023-03-14,196.869995,199.699997,192.630005,195.149994,191.633087,3168900
2023-03-15,191.169998,193.070007,189.399994,192.039993,188.579147,5749600
2023-03-16,191.080002,193.600006,189.139999,192.910004,189.433472,6357200
2023-03-17,193.339996,193.339996,187.729996,190.009995,186.585724,11852800
2023-03-20,190.119995,191.850006,188.990005,189.690002,186.271484,2956800
2023-03-21,191.410004,192.699997,188.380005,189.539993,186.124207,3338900
2023-03-22,188.559998,190.179993,185.669998,185.720001,182.373032,3325400
2023-03-23,186.009995,187.850006,183.690002,186.199997,182.844376,3854900
2023-03-24,184.139999,188.559998,183.850006,188.509995,185.112762,4263600
2023-03-27,190.619995,193.720001,190.169998,193.229996,189.747696,3666800
2023-03-28,193.229996,197.470001,193.229996,196.580002,193.037323,5635300
2023-03-29,198.470001,199.869995,197.479996,199.089996,195.502090,3152100
2023-03-30,200.360001,201.449997,197.500000,198.360001,194.785233,3050700
2023-03-31,198.869995,201.389999,198.649994,201.259995,197.632980,3422600
2023-04-03,200.919998,201.929993,197.990005,199.539993,195.943970,1908400
2023-04-04,199.380005,199.729996,195.059998,195.880005,192.349930,3556700
2023-04-05,195.130005,196.300003,194.070007,194.210007,190.710037,2382200
2023-04-06,194.600006,198.690002,194.089996,198.639999,195.060196,3280000
